No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor
140;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);915;BASE;23;Miss Glam Payakumbuh;0;500000;0;;
141;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);915;BASE;24;Miss Glam Solok;0;500000;0;;
142;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);915;BASE;31;Miss Glam Sutomo;0;500000;0;;
143;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);915;BASE;32;Miss Glam Pasaman Barat;0;500000;0;;
144;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1534;KITSCHY;7;Miss Glam Padang;5;500000;0;;
145;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1534;KITSCHY;13;Miss Glam Bukittinggi;5;500000;0;;
146;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1534;KITSCHY;21;Miss Glam Damar;5;500000;0;;
147;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1534;KITSCHY;23;Miss Glam Payakumbuh;5;500000;0;;
148;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1534;KITSCHY;24;Miss Glam Solok;5;500000;0;;
149;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1534;KITSCHY;31;Miss Glam Sutomo;5;500000;0;;
150;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1534;KITSCHY;32;Miss Glam Pasaman Barat;5;500000;0;;
151;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1986;LAYR;7;Miss Glam Padang;4;500000;0;;
152;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1986;LAYR;8;Miss Glam Pekanbaru;4;500000;0;;
153;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1986;LAYR;17;Miss Glam Lampung;4;500000;0;;
154;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1986;LAYR;21;Miss Glam Damar;4;500000;0;;
155;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1986;LAYR;27;Miss Glam Dumai;4;500000;0;;
156;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1986;LAYR;30;Miss Glam Tanjung Pinang;4;500000;0;;
